strength	region	chunk	seed	out	rep_out	command
0	true	0	2026081700	/tmp/dml_low_high_response_ablation_20260830_b50/raw/ctmle_s0_true_chunk00.csv	/tmp/dml_low_high_response_ablation_20260830_b50/raw/ctmle_s0_true_chunk00.reps.csv	/tmp/dml_ablation_env/bin/python /tmp/ney_region_targeting_3e131a9/replication/hidden_bias_regional_repair/scripts/validated_reference_transfer.py --reps 4 --bootstraps 50 --n 3000 --epsilon 0.05 --strength 0 --design regional_shift --mar-design box --analysis-region true --reference-method ctmle --propensity-mode estimated --learner xgboost --propensity-learner xgboost --repair-mode targeting --c 2 --folds 3 --region-damp-grid 0 0.25 0.5 1 --validation-loss-se 1 --region-selector-ablation legacy --region-detector-c 4 --seed 2026081700 --progress-every 4 --out /tmp/dml_low_high_response_ablation_20260830_b50/raw/ctmle_s0_true_chunk00.csv --rep-out /tmp/dml_low_high_response_ablation_20260830_b50/raw/ctmle_s0_true_chunk00.reps.csv
0	true	1	2026082700	/tmp/dml_low_high_response_ablation_20260830_b50/raw/ctmle_s0_true_chunk01.csv	/tmp/dml_low_high_response_ablation_20260830_b50/raw/ctmle_s0_true_chunk01.reps.csv	/tmp/dml_ablation_env/bin/python /tmp/ney_region_targeting_3e131a9/replication/hidden_bias_regional_repair/scripts/validated_reference_transfer.py --reps 4 --bootstraps 50 --n 3000 --epsilon 0.05 --strength 0 --design regional_shift --mar-design box --analysis-region true --reference-method ctmle --propensity-mode estimated --learner xgboost --propensity-learner xgboost --repair-mode targeting --c 2 --folds 3 --region-damp-grid 0 0.25 0.5 1 --validation-loss-se 1 --region-selector-ablation legacy --region-detector-c 4 --seed 2026082700 --progress-every 4 --out /tmp/dml_low_high_response_ablation_20260830_b50/raw/ctmle_s0_true_chunk01.csv --rep-out /tmp/dml_low_high_response_ablation_20260830_b50/raw/ctmle_s0_true_chunk01.reps.csv
0	true	2	2026083700	/tmp/dml_low_high_response_ablation_20260830_b50/raw/ctmle_s0_true_chunk02.csv	/tmp/dml_low_high_response_ablation_20260830_b50/raw/ctmle_s0_true_chunk02.reps.csv	/tmp/dml_ablation_env/bin/python /tmp/ney_region_targeting_3e131a9/replication/hidden_bias_regional_repair/scripts/validated_reference_transfer.py --reps 4 --bootstraps 50 --n 3000 --epsilon 0.05 --strength 0 --design regional_shift --mar-design box --analysis-region true --reference-method ctmle --propensity-mode estimated --learner xgboost --propensity-learner xgboost --repair-mode targeting --c 2 --folds 3 --region-damp-grid 0 0.25 0.5 1 --validation-loss-se 1 --region-selector-ablation legacy --region-detector-c 4 --seed 2026083700 --progress-every 4 --out /tmp/dml_low_high_response_ablation_20260830_b50/raw/ctmle_s0_true_chunk02.csv --rep-out /tmp/dml_low_high_response_ablation_20260830_b50/raw/ctmle_s0_true_chunk02.reps.csv
0	true	3	2026084700	/tmp/dml_low_high_response_ablation_20260830_b50/raw/ctmle_s0_true_chunk03.csv	/tmp/dml_low_high_response_ablation_20260830_b50/raw/ctmle_s0_true_chunk03.reps.csv	/tmp/dml_ablation_env/bin/python /tmp/ney_region_targeting_3e131a9/replication/hidden_bias_regional_repair/scripts/validated_reference_transfer.py --reps 4 --bootstraps 50 --n 3000 --epsilon 0.05 --strength 0 --design regional_shift --mar-design box --analysis-region true --reference-method ctmle --propensity-mode estimated --learner xgboost --propensity-learner xgboost --repair-mode targeting --c 2 --folds 3 --region-damp-grid 0 0.25 0.5 1 --validation-loss-se 1 --region-selector-ablation legacy --region-detector-c 4 --seed 2026084700 --progress-every 4 --out /tmp/dml_low_high_response_ablation_20260830_b50/raw/ctmle_s0_true_chunk03.csv --rep-out /tmp/dml_low_high_response_ablation_20260830_b50/raw/ctmle_s0_true_chunk03.reps.csv
0	true	4	2026085700	/tmp/dml_low_high_response_ablation_20260830_b50/raw/ctmle_s0_true_chunk04.csv	/tmp/dml_low_high_response_ablation_20260830_b50/raw/ctmle_s0_true_chunk04.reps.csv	/tmp/dml_ablation_env/bin/python /tmp/ney_region_targeting_3e131a9/replication/hidden_bias_regional_repair/scripts/validated_reference_transfer.py --reps 4 --bootstraps 50 --n 3000 --epsilon 0.05 --strength 0 --design regional_shift --mar-design box --analysis-region true --reference-method ctmle --propensity-mode estimated --learner xgboost --propensity-learner xgboost --repair-mode targeting --c 2 --folds 3 --region-damp-grid 0 0.25 0.5 1 --validation-loss-se 1 --region-selector-ablation legacy --region-detector-c 4 --seed 2026085700 --progress-every 4 --out /tmp/dml_low_high_response_ablation_20260830_b50/raw/ctmle_s0_true_chunk04.csv --rep-out /tmp/dml_low_high_response_ablation_20260830_b50/raw/ctmle_s0_true_chunk04.reps.csv
0	true	5	2026086700	/tmp/dml_low_high_response_ablation_20260830_b50/raw/ctmle_s0_true_chunk05.csv	/tmp/dml_low_high_response_ablation_20260830_b50/raw/ctmle_s0_true_chunk05.reps.csv	/tmp/dml_ablation_env/bin/python /tmp/ney_region_targeting_3e131a9/replication/hidden_bias_regional_repair/scripts/validated_reference_transfer.py --reps 4 --bootstraps 50 --n 3000 --epsilon 0.05 --strength 0 --design regional_shift --mar-design box --analysis-region true --reference-method ctmle --propensity-mode estimated --learner xgboost --propensity-learner xgboost --repair-mode targeting --c 2 --folds 3 --region-damp-grid 0 0.25 0.5 1 --validation-loss-se 1 --region-selector-ablation legacy --region-detector-c 4 --seed 2026086700 --progress-every 4 --out /tmp/dml_low_high_response_ablation_20260830_b50/raw/ctmle_s0_true_chunk05.csv --rep-out /tmp/dml_low_high_response_ablation_20260830_b50/raw/ctmle_s0_true_chunk05.reps.csv
0	true	6	2026087700	/tmp/dml_low_high_response_ablation_20260830_b50/raw/ctmle_s0_true_chunk06.csv	/tmp/dml_low_high_response_ablation_20260830_b50/raw/ctmle_s0_true_chunk06.reps.csv	/tmp/dml_ablation_env/bin/python /tmp/ney_region_targeting_3e131a9/replication/hidden_bias_regional_repair/scripts/validated_reference_transfer.py --reps 4 --bootstraps 50 --n 3000 --epsilon 0.05 --strength 0 --design regional_shift --mar-design box --analysis-region true --reference-method ctmle --propensity-mode estimated --learner xgboost --propensity-learner xgboost --repair-mode targeting --c 2 --folds 3 --region-damp-grid 0 0.25 0.5 1 --validation-loss-se 1 --region-selector-ablation legacy --region-detector-c 4 --seed 2026087700 --progress-every 4 --out /tmp/dml_low_high_response_ablation_20260830_b50/raw/ctmle_s0_true_chunk06.csv --rep-out /tmp/dml_low_high_response_ablation_20260830_b50/raw/ctmle_s0_true_chunk06.reps.csv
0	true	7	2026088700	/tmp/dml_low_high_response_ablation_20260830_b50/raw/ctmle_s0_true_chunk07.csv	/tmp/dml_low_high_response_ablation_20260830_b50/raw/ctmle_s0_true_chunk07.reps.csv	/tmp/dml_ablation_env/bin/python /tmp/ney_region_targeting_3e131a9/replication/hidden_bias_regional_repair/scripts/validated_reference_transfer.py --reps 4 --bootstraps 50 --n 3000 --epsilon 0.05 --strength 0 --design regional_shift --mar-design box --analysis-region true --reference-method ctmle --propensity-mode estimated --learner xgboost --propensity-learner xgboost --repair-mode targeting --c 2 --folds 3 --region-damp-grid 0 0.25 0.5 1 --validation-loss-se 1 --region-selector-ablation legacy --region-detector-c 4 --seed 2026088700 --progress-every 4 --out /tmp/dml_low_high_response_ablation_20260830_b50/raw/ctmle_s0_true_chunk07.csv --rep-out /tmp/dml_low_high_response_ablation_20260830_b50/raw/ctmle_s0_true_chunk07.reps.csv
0	true	8	2026089700	/tmp/dml_low_high_response_ablation_20260830_b50/raw/ctmle_s0_true_chunk08.csv	/tmp/dml_low_high_response_ablation_20260830_b50/raw/ctmle_s0_true_chunk08.reps.csv	/tmp/dml_ablation_env/bin/python /tmp/ney_region_targeting_3e131a9/replication/hidden_bias_regional_repair/scripts/validated_reference_transfer.py --reps 4 --bootstraps 50 --n 3000 --epsilon 0.05 --strength 0 --design regional_shift --mar-design box --analysis-region true --reference-method ctmle --propensity-mode estimated --learner xgboost --propensity-learner xgboost --repair-mode targeting --c 2 --folds 3 --region-damp-grid 0 0.25 0.5 1 --validation-loss-se 1 --region-selector-ablation legacy --region-detector-c 4 --seed 2026089700 --progress-every 4 --out /tmp/dml_low_high_response_ablation_20260830_b50/raw/ctmle_s0_true_chunk08.csv --rep-out /tmp/dml_low_high_response_ablation_20260830_b50/raw/ctmle_s0_true_chunk08.reps.csv
0	true	9	2026090700	/tmp/dml_low_high_response_ablation_20260830_b50/raw/ctmle_s0_true_chunk09.csv	/tmp/dml_low_high_response_ablation_20260830_b50/raw/ctmle_s0_true_chunk09.reps.csv	/tmp/dml_ablation_env/bin/python /tmp/ney_region_targeting_3e131a9/replication/hidden_bias_regional_repair/scripts/validated_reference_transfer.py --reps 4 --bootstraps 50 --n 3000 --epsilon 0.05 --strength 0 --design regional_shift --mar-design box --analysis-region true --reference-method ctmle --propensity-mode estimated --learner xgboost --propensity-learner xgboost --repair-mode targeting --c 2 --folds 3 --region-damp-grid 0 0.25 0.5 1 --validation-loss-se 1 --region-selector-ablation legacy --region-detector-c 4 --seed 2026090700 --progress-every 4 --out /tmp/dml_low_high_response_ablation_20260830_b50/raw/ctmle_s0_true_chunk09.csv --rep-out /tmp/dml_low_high_response_ablation_20260830_b50/raw/ctmle_s0_true_chunk09.reps.csv
0	true	10	2026091700	/tmp/dml_low_high_response_ablation_20260830_b50/raw/ctmle_s0_true_chunk10.csv	/tmp/dml_low_high_response_ablation_20260830_b50/raw/ctmle_s0_true_chunk10.reps.csv	/tmp/dml_ablation_env/bin/python /tmp/ney_region_targeting_3e131a9/replication/hidden_bias_regional_repair/scripts/validated_reference_transfer.py --reps 4 --bootstraps 50 --n 3000 --epsilon 0.05 --strength 0 --design regional_shift --mar-design box --analysis-region true --reference-method ctmle --propensity-mode estimated --learner xgboost --propensity-learner xgboost --repair-mode targeting --c 2 --folds 3 --region-damp-grid 0 0.25 0.5 1 --validation-loss-se 1 --region-selector-ablation legacy --region-detector-c 4 --seed 2026091700 --progress-every 4 --out /tmp/dml_low_high_response_ablation_20260830_b50/raw/ctmle_s0_true_chunk10.csv --rep-out /tmp/dml_low_high_response_ablation_20260830_b50/raw/ctmle_s0_true_chunk10.reps.csv
0	true	11	2026092700	/tmp/dml_low_high_response_ablation_20260830_b50/raw/ctmle_s0_true_chunk11.csv	/tmp/dml_low_high_response_ablation_20260830_b50/raw/ctmle_s0_true_chunk11.reps.csv	/tmp/dml_ablation_env/bin/python /tmp/ney_region_targeting_3e131a9/replication/hidden_bias_regional_repair/scripts/validated_reference_transfer.py --reps 4 --bootstraps 50 --n 3000 --epsilon 0.05 --strength 0 --design regional_shift --mar-design box --analysis-region true --reference-method ctmle --propensity-mode estimated --learner xgboost --propensity-learner xgboost --repair-mode targeting --c 2 --folds 3 --region-damp-grid 0 0.25 0.5 1 --validation-loss-se 1 --region-selector-ablation legacy --region-detector-c 4 --seed 2026092700 --progress-every 4 --out /tmp/dml_low_high_response_ablation_20260830_b50/raw/ctmle_s0_true_chunk11.csv --rep-out /tmp/dml_low_high_response_ablation_20260830_b50/raw/ctmle_s0_true_chunk11.reps.csv
0	true	12	2026093700	/tmp/dml_low_high_response_ablation_20260830_b50/raw/ctmle_s0_true_chunk12.csv	/tmp/dml_low_high_response_ablation_20260830_b50/raw/ctmle_s0_true_chunk12.reps.csv	/tmp/dml_ablation_env/bin/python /tmp/ney_region_targeting_3e131a9/replication/hidden_bias_regional_repair/scripts/validated_reference_transfer.py --reps 4 --bootstraps 50 --n 3000 --epsilon 0.05 --strength 0 --design regional_shift --mar-design box --analysis-region true --reference-method ctmle --propensity-mode estimated --learner xgboost --propensity-learner xgboost --repair-mode targeting --c 2 --folds 3 --region-damp-grid 0 0.25 0.5 1 --validation-loss-se 1 --region-selector-ablation legacy --region-detector-c 4 --seed 2026093700 --progress-every 4 --out /tmp/dml_low_high_response_ablation_20260830_b50/raw/ctmle_s0_true_chunk12.csv --rep-out /tmp/dml_low_high_response_ablation_20260830_b50/raw/ctmle_s0_true_chunk12.reps.csv
